"id";"page";"chapter";"review_comment";"seriousness";"reviewer_email";"correction_status";"correction_comments";"agreed_with_reviewer"
2;"234223sdfvmsffsdofvmpasfovmfaovjafio;vhfvhfo'vahfv";"sd;vmds";"sdvklsfv";"";"fbsbtfgb@gmail.com";"option5";"";"option10"
4;"advhads'lv";"adslivhdsa";"";"";"fbsbtfgb@gmail.com";"option5";"";"option10"
4;"advhads'lvadcljndkc";"adslivhdsa";"";"";"fbsbtfgb@gmail.com";"option5";"";"option10"
3;"alfkvmfd";"sfvlknmdf";"dzfvlkmdf";"";"fbsbtfgb@gmail.com";"option5";"";"option10"
3;"alfkvmfsdlkfd";"sfvlknmdf";"dzfvlkmdf";"";"fbsbtfgb@gmail.com";"option5";"";"option10"
3;"asfvkndsafv";"asdvljhasf";"askdvbjasl";"";"fbsbtfgb@gmail.com";"option8";"ewfgknwaiofl";"option11"
3;"avefavakwvbawrfvWVD";"ejvnla";"alvnfv;";"";"fbsbtfgb@gmail.com";"option5";"zslfvknf;dv";"option11"
2;"avefavl;j";"ejvnla";"alvnfv;";"";"fbsbtfgb@gmail.com";"option5";"zslfvknf;dv";"option11"
3;"avefavl;jWVD";"ejvnla";"alvnfv;";"";"fbsbtfgb@gmail.com";"option5";"zslfvknf;dv";"option11"
3;"avevbawrfvWVD";"ejvnla";"alvnfv;";"";"fbsbtfgb@gmail.com";"option5";"zslfvknf;dv";"option11"
3;"avevbawrfvWVDdgngn";"ejvnla";"alvnfv;";"";"fbsbtfgb@gmail.com";"option5";"zslfvknf;dv";"option11"
7;"avevbawrgfdcsddvsdrfvWdfbdfVDdgngn";"ejvnla";"alvnfv;";"";"fbsbtfgb@gmail.com";"option7";"zslfvknf;dv";"option11"
7;"avevbawrgfdcsdrfvWdfbdfVDdgngn";"ejvnla";"alvnfv;";"";"fbsbtfgb@gmail.com";"option7";"zslfvknf;dv";"option11"
7;"avevbawrgfrfvWdfbdfVDdgngn";"ejvnla";"alvnfv;";"";"fbsbtfgb@gmail.com";"option7";"zslfvknf;dv";"option11"
67;"awvljnDv";"sldkvndls";"slKDvnds";"";"fbsbtfgb@gmail.com";"option5";"sldkavnaD:SV";"option10"
23;"dfds";"sdfdsf";"adf";"option1";"thstgh@gmail.com";"option7";"sdff";"option10"
45;"dfsgsdfgsfg";"gefsg efg";"sdfgsdfgdfgdf";"";"fbsbtfgb@gmail.com";"option6";"sdfgdfgdfg";"option11"
3;"dpage12";"chapter4";"revuiewcomm";"";"thstgh@gmail.com";"option5";"correct";"option10"
1;"eafljv";"ajfbv";"arjkbfrl";"";"fbsbtfgb@gmail.com";"option6";"alfkvhlfv";"option10"
1;"eafljvdc";"ajfbv";"arjkbfrl";"";"fbsbtfgb@gmail.com";"option6";"alfkvhlfv";"option10"
1;"eafljvdcsdvd";"ajfbv";"arjkbfrl";"";"fbsbtfgb@gmail.com";"option6";"alfkvhlfv";"option10"
2;"eafljvdcsdvdsdfv";"ajfbv";"arjkbfrl";"";"fbsbtfgb@gmail.com";"option6";"alfkvhlfv";"option10"
235;"fgfsags";"gsdfgsdfgfg";"sfgsdfg";"option3";"rkrishna@gmail.com";"option8";"sfgfdgsdfg";"option10"
3;"gfhgh";"sfgfsg";"sdfgdsgfg";"option3";"aiurgjo@gmail.com";"option6";"dsfgbdsfg";"option10"
3;"re;jgerg";"advjnasd;";"asdvjnsf";"";"fbsbtfgb@gmail.com";"option5";"sviohadsofvh";"option10"
3;"re;jgergetstbukek";"advjnasd;";"asdvjnsf";"";"fbsbtfgb@gmail.com";"option5";"sviohadsofvh";"option10"
345;"sdfdsf";"sdfsdfdsf";"dfsf";"option3";"aiurgjo@gmail.com";"option7";"sdfaffasdfdasfd";"option10"
2;"sdfvmsffsdofvmpasfovmfaovjafio;vhfvhfo'vahfv";"sd;vmds";"sdvklsfv";"";"fbsbtfgb@gmail.com";"option5";"";"option10"
3;"sdfvn'sfeov";"fvldf.";"flvknsdf";"";"fbsbtfgb@gmail.com";"option5";"wfff";"option10"
34;"sdfvsd";"dasfsdf";"fsdfd";"";"thstgh@gmail.com";"option6";"fdsafdasfsdaf";"option11"
343;"sdfvsdeqfadf";"dasfsdf";"fsdfd";"";"thstgh@gmail.com";"option5";"fdsafdasfsdaf";"option11"
3433;"sdfvsdeqfadfsdf";"dasfsdf";"fsdfd";"";"thstgh@gmail.com";"";"fdsafdasfsdaf";"option11"
34332;"sdfvsdeqfadfsdfsad";"dasfsdf";"fsdfd";"";"thstgh@gmail.com";"";"fdsafdasfsdaf";"option11"
3;"sdfvsdeqfadfssdfsdfsad";"dasfsdf";"fsdfd";"";"thstgh@gmail.com";"";"fdsafdasfsdaf";"option11"
32;"sdfvsdeqfadsafssdfsdfsad";"dasfsdf";"fsdfd";"";"thstgh@gmail.com";"option6";"fdsafdasfsdaf";"option11"
32;"sdfvsdeqfadsafsssdfdfsdfsad";"dasfsdf";"fsdfd";"option1";"thstgh@gmail.com";"option6";"fdsafdasfsdaf";"option11"
